1, -0.56, -0.93, -2.37, 8.73, 30.34, 2.74, 0.29, -0.28, -0.92, 11.87, 33.54, 13.25, 1.20, -0.84, -1.35, -14.86, -27.79, -48.58, 0
2, 0.64, 0.27, -0.72, 7.27, 20.09, 11.04, -0.16, 0.17, -0.17, 26.52, 12.54, 15.21, -0.60, -1.14, -1.95, -11.45, -34.14, -46.14, 0
3, -1.01, 0.27, -0.72, 20.94, 11.79, -13.37, 1.04, 0.47, -0.17, 8.94, 24.75, 5.44, 0.75, -1.29, -2.10, -13.89, -22.42, -47.61, 0
4, 0.19, 1.32, -2.37, 21.43, 14.23, 3.72, 0.89, 0.62, -1.07, 7.96, 15.96, 25.46, 1.80, -0.69, -1.95, -4.12, -25.35, -35.89, 0
5, 0.94, 0.87, -1.32, 11.17, 3.00, 10.06, 0.74, 0.47, -0.17, 5.03, 18.89, 25.46, 1.05, -0.39, -0.90, -9.49, -22.91, -34.91, 0
6, 0.19, -0.18, -1.62, 6.29, 1.53, 0.79, 1.34, 0.62, -0.32, 12.36, 11.56, 21.55, -0.15, -2.19, -1.95, -14.38, -24.86, -52.00, 0
7, -0.41, 0.87, -1.32, 17.03, 10.32, 3.23, -0.01, 0.32, -1.07, 11.38, 29.63, 24.48, 0.45, -0.54, -1.35, -16.33, -13.14, -32.47, 0
8, 0.04, 0.42, -0.27, 16.54, 12.76, -9.96, 0.29, 1.22, -0.92, 1.13, 22.79, 26.92, 0.45, -0.84, -0.60, -22.68, -23.89, -32.96, 0
9, 0.19, -0.93, -1.17, 17.52, 0.56, -2.63, 0.89, -0.13, -0.77, 20.17, 19.37, 13.74, 0.45, -2.34, -0.30, -20.23, -19.00, -51.51, 0
10, -0.41, 1.62, -2.22, 9.71, 23.51, 2.74, 1.34, 1.07, 0.43, 14.80, 20.35, 17.65, 0.15, -0.69, -1.20, -9.00, -20.47, -38.33, 0
11, 0.19, 1.32, -1.17, 28.26, 14.72, 10.06, 1.04, 0.92, -0.62, 19.19, 26.70, 16.67, 0.60, -1.44, -0.15, -12.42, -28.77, -37.84, 0
12, 0.64, 0.27, -1.92, 23.87, 20.09, -1.66, 0.74, -0.28, -0.62, 11.38, 14.98, 8.37, 0.45, -0.54, -1.05, -19.26, -24.37, -48.58, 0
13, 0.64, -0.18, -0.42, 18.98, 13.74, -3.61, 0.89, 1.07, -0.32, 10.89, 23.28, 17.65, 1.95, -0.54, -0.60, -21.21, -21.45, -42.72, 0
14, 0.94, 1.17, -2.52, 9.71, 16.18, -8.49, 0.74, 1.97, 0.13, 13.82, 22.30, 19.60, 0.00, -1.29, -1.80, -17.79, -29.75, -37.84, 0
15, -0.11, -0.18, -1.92, 12.64, 11.30, 3.72, -0.31, -0.13, -1.07, 14.80, 19.86, 27.41, 1.95, -1.59, -1.80, -23.16, -14.12, -39.31, 0
16, -0.41, -0.03, -2.52, 26.80, 3.00, 1.76, 0.89, 0.32, -0.02, 23.59, 13.52, 14.23, 0.15, -1.14, -0.15, -19.26, -13.63, -44.19, 0
17, 0.04, 0.87, -1.02, 9.22, 7.39, -2.14, 1.64, 1.07, -0.77, 18.22, 24.26, 25.46, -0.15, -1.74, -1.95, -22.19, -37.56, -40.28, 0
18, -0.86, 1.62, -0.57, 30.70, 3.00, -3.61, 1.04, 0.17, 0.58, 6.01, 24.26, 22.04, 1.65, -0.24, -1.35, -29.51, -22.91, -36.38, 0
19, -0.86, 0.87, -0.57, 18.01, 8.86, 4.20, -0.01, 1.82, -1.07, 24.57, 10.59, 25.95, 0.15, -1.14, -0.45, -17.30, -29.75, -35.40, 0
20, -0.56, -0.63, -1.17, 18.98, 13.74, 5.18, 0.29, 0.92, 0.58, 7.48, 21.82, 19.60, 0.45, -0.54, -0.60, -15.35, -20.47, -32.96, 0
21, -0.41, -0.33, -1.77, 19.96, 21.55, -0.19, 1.04, 1.67, -0.62, 34.82, 14.00, 16.18, 1.65, -0.84, -1.35, -16.82, -26.33, -43.21, 0
22, -0.41, -0.78, 0.93, 12.64, 25.95, 10.06, 0.89, 1.07, -0.32, 23.10, 26.70, 19.11, 0.15, -0.39, -1.95, -23.65, -27.79, -46.14, 0
23, 1.09, -0.93, -2.37, 15.57, 14.72, 5.67, 0.89, 1.07, -0.77, 23.10, 15.96, 19.11, -0.60, -0.69, -2.25, -13.40, -27.30, -43.21, 0
24, 0.94, 0.87, -0.27, 20.94, 13.25, -1.66, 1.04, 0.47, -0.92, 13.33, 18.89, 20.09, 1.35, -1.14, -1.50, -12.42, -16.07, -33.94, 0
25, 0.04, -0.33, 0.63, 4.82, 17.16, 2.25, 1.64, 1.07, -1.52, 19.19, 21.82, 19.11, 1.05, -2.49, -0.90, -3.63, -23.89, -44.19, 0
26, -0.41, 0.42, -1.02, 23.38, 12.28, 6.16, 1.04, 0.17, -0.17, 5.03, 16.45, 20.58, 0.60, -0.39, -0.15, -8.03, -24.37, -40.77, 0
27, 0.64, -0.18, -1.92, 12.64, 10.81, -7.51, 0.89, 0.32, -1.07, 21.15, 27.68, 13.74, 0.75, -1.29, -1.80, -24.14, -22.91, -36.87, 0
28, 0.64, -0.63, -1.17, 19.96, 32.29, 0.30, 1.04, 0.17, -1.67, 16.75, 11.56, 23.51, -0.90, -1.74, -1.95, -18.28, -16.56, -38.33, 0
29, 0.49, 1.17, -0.57, 12.15, 15.69, -2.63, 0.89, 0.32, -1.07, 13.33, 23.77, 10.81, 0.45, -0.54, -0.30, -10.96, -17.54, -46.63, 0
30, -0.56, 1.02, -0.72, 18.01, 13.74, -3.12, 0.29, 1.22, -0.62, 11.87, 14.98, 18.62, 1.20, -0.24, -1.80, -17.30, -23.40, -45.65, 0
31, -0.86, -0.03, -1.02, 15.57, 8.37, 1.76, 2.09, 1.82, -0.77, 17.24, 21.82, 18.13, -0.15, -1.14, -0.45, -30.49, -20.47, -30.03, 0
32, -0.41, -0.33, -0.57, 19.96, 4.46, -17.28, 1.34, 0.32, -0.77, 9.92, 17.91, 11.30, 0.75, -1.29, -1.05, -24.14, -18.03, -35.40, 0
33, 0.64, -1.38, -1.17, 7.75, 7.88, 1.76, 0.89, -0.13, -0.32, 20.66, 24.26, 16.67, 0.45, -1.29, 0.15, -15.35, -26.33, -51.51, 0
