MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,Class
0.64,0.17,-0.66,102.05,586.91,835.45,-0.63,-3.22,1.67,2
0.64,-0.73,-1.86,180.18,690.92,669.43,-0.93,-3.67,0.77,2
-0.11,-0.28,-1.86,69.82,548.83,915.53,-1.83,-3.22,2.42,2
0.49,0.32,-0.96,165.04,708.01,659.18,-0.33,-3.52,1.37,2
0.04,-0.13,0.24,95.7,586.91,850.59,0.72,-2.62,1.52,2
0.34,0.92,-0.66,116.21,627.93,783.69,-0.03,-3.37,1.52,2
0.94,-1.18,-0.51,162.6,689.94,687.01,0.27,-2.62,2.27,2
-0.41,-1.18,-0.51,49.32,505.86,956.54,-0.33,-3.22,0.92,2
-0.71,-0.13,-0.51,219.73,783.2,530.27,-0.48,-2.62,0.32,2
0.94,0.62,-0.96,37.11,503.42,987.3,0.27,-3.67,1.07,2
0.34,0.17,-0.66,143.55,682.13,699.22,-0.93,-3.37,0.77,2
1.69,0.32,-0.96,140.63,752.44,583.98,-0.03,-3.37,0.77,2
-0.71,0.32,-1.71,-18.07,65.43,1138.67,0.57,-3.22,2.12,2
1.69,-0.13,-0.51,1480.96,456.54,1046.88,-0.33,-2.47,0.62,2
0.34,0.92,0.84,-152.83,524.41,1033.2,1.32,-3.97,1.37,2
-1.01,0.47,-1.11,307.13,800.29,514.65,1.77,-1.72,1.67,2
-1.61,0.62,-0.96,476.56,308.11,1154.79,0.27,-2.17,1.52,2
0.34,0.47,-1.56,1999.94,-1245.61,1263.18,1.92,-4.12,1.07,2
0.94,-0.13,-0.51,128.42,622.07,781.74,0.12,-2.47,1.37,2
-0.41,0.32,-0.51,104.49,604.98,843.26,-0.93,-2.62,3.02,2
-0.11,-0.28,-0.66,201.66,721.19,626.46,-2.28,-2.47,2.12,2
-0.11,0.17,-0.66,48.83,494.14,974.12,0.72,-1.87,1.07,2
-0.56,-0.28,-0.36,245.61,746.58,588.38,-0.63,-1.72,1.37,2
-0.41,-0.88,-1.26,184.57,568.85,875.0,-0.03,-4.12,1.07,2
-0.11,-0.73,-1.86,392.58,657.23,1257.81,-2.28,-1.72,0.92,2
-0.56,-2.23,-2.76,179.69,655.76,721.19,1.17,-1.87,1.07,2
0.04,-1.18,-0.51,57.62,929.2,339.36,0.27,-2.62,1.52,2
-0.56,-0.73,0.09,-1873.05,-263.18,-772.46,-0.33,-1.27,1.67,2
0.34,0.47,-0.66,139.65,629.39,773.44,-0.63,-0.52,0.62,2
-1.16,1.07,-1.26,144.04,629.39,784.67,-0.03,-1.42,-0.43,2
1.24,-0.43,-0.21,135.74,630.37,772.46,0.27,-0.37,0.02,2
-1.16,-0.13,-0.96,144.04,626.46,778.32,-0.93,-0.67,-0.73,2
-0.11,0.92,-1.56,127.93,632.32,774.41,-1.53,-1.72,0.62,2
0.49,-0.43,0.24,139.16,630.37,780.27,-0.48,-1.87,-0.43,2
-0.41,-0.43,-1.71,130.37,643.07,770.02,-0.33,-0.22,-0.13,2
0.94,1.07,-0.96,135.25,635.25,782.23,0.12,-1.27,0.17,2
0.04,0.32,-0.21,138.18,638.67,771.97,-0.48,-0.37,-0.43,2
-1.76,-0.28,-1.56,120.12,638.18,774.41,-0.33,-0.97,-0.13,2
0.04,1.07,-0.51,133.3,629.39,771.97,-1.08,-0.52,0.92,2
-0.29,0.85,-0.01,136.72,640.63,747.56,0.77,2.26,-1.75,1
-1.04,-0.2,-0.31,125.0,620.61,791.5,0.17,0.61,-0.4,1
0.76,-0.05,-0.16,143.07,623.54,761.23,0.77,1.06,-2.2,1
0.01,-0.8,1.04,131.35,633.79,783.69,0.17,1.66,-0.1,1
0.46,-0.05,-0.61,126.46,633.3,786.13,0.32,0.31,0.2,1
0.76,0.7,0.29,130.86,644.04,757.32,1.22,0.01,0.2,1
0.16,0.85,-0.01,109.86,611.82,793.46,0.77,0.01,-1.75,1
0.16,-0.65,0.74,152.83,669.43,741.21,1.82,-0.59,-1.6,1
-1.04,0.85,-0.31,106.45,601.56,808.59,0.62,1.66,-1.6,1
1.21,1.15,-0.16,143.55,643.07,746.09,0.77,1.81,-1.3,1
1.36,0.55,0.44,127.44,624.51,799.32,1.37,0.61,-1.15,1
-0.44,-0.5,0.29,132.81,617.19,785.16,0.62,0.61,-1.6,1
0.01,-0.5,-1.36,141.11,641.6,756.35,1.67,1.06,-1.0,1
-0.44,-0.05,-0.91,114.26,604.0,820.8,-0.58,0.91,-1.9,1
0.46,-0.5,-1.36,149.41,673.83,718.75,0.62,0.91,-1.15,1
1.66,1.15,-0.91,97.66,595.7,846.68,0.62,0.61,-0.85,1
-1.34,-0.5,0.29,147.46,682.13,714.84,0.02,0.01,-1.75,1
1.66,-0.5,-0.16,109.86,601.07,815.92,0.32,1.81,-1.3,1
0.16,-0.2,-1.51,130.37,637.7,757.32,0.62,0.91,-1.9,1
0.76,-0.05,-0.16,126.46,649.41,737.79,0.77,0.01,-2.2,1
1.06,-0.2,-1.96,116.7,584.96,851.07,-0.43,0.76,-4.0,1
0.61,-0.2,-2.71,1276.37,-253.91,863.77,1.37,0.61,-3.85,1
0.01,-1.25,-6.01,-31.74,751.95,634.28,0.17,1.36,-2.35,1
-1.04,-1.4,-4.66,210.45,650.88,669.43,1.22,2.26,-4.0,1
-1.64,-2.0,-6.01,59.08,458.98,1006.35,1.22,4.06,-2.5,1
-2.69,-1.85,-4.66,371.58,805.18,479.98,0.77,4.81,-4.75,1
-4.34,-2.15,-5.11,-364.75,522.46,1053.71,0.02,6.31,-4.0,1
-4.19,-3.95,-3.31,201.17,671.39,707.52,1.82,7.51,-3.85,1
-3.59,-10.4,0.44,127.44,569.34,847.17,1.22,9.61,0.5,1
1.66,-12.05,8.39,109.86,732.42,742.68,-3.13,11.71,14.45,1
9.01,-6.8,8.54,109.86,753.42,887.7,-6.28,-1.34,20.15,1
8.26,-0.8,2.99,249.51,543.46,927.73,-5.23,-7.49,12.05,1
2.86,-0.8,0.29,193.36,709.96,664.06,-1.48,-4.34,3.8,1
-0.29,0.1,-1.21,61.04,541.5,909.18,-2.23,-1.64,-0.85,1
-0.59,0.85,0.44,124.02,747.07,632.32,-2.23,-0.14,-0.4,1
1.66,-0.05,1.04,564.94,0.49,826.66,0.17,0.16,-1.6,1
0.01,-0.05,0.29,-179.2,611.33,850.59,-0.43,0.76,-0.25,1
2.26,-0.2,-0.01,96.19,901.37,454.59,-0.43,0.76,-1.0,1
1.06,0.55,-1.21,-126.46,383.3,1245.12,1.37,2.41,-1.9,1
1.21,1.15,-0.91,1999.94,-2000.0,534.18,1.22,2.26,-1.0,1
0.46,0.7,-0.61,123.54,627.93,772.46,0.92,-1.34,-0.1,1
0.61,1.75,-0.01,130.37,620.61,773.44,-0.43,-0.44,-0.25,1
1.36,-0.2,-1.51,142.09,630.86,779.3,-1.03,-1.34,1.55,1
-0.44,0.4,1.34,130.86,631.35,777.34,-1.18,0.76,0.5,1
-0.29,-0.2,-0.31,144.53,627.93,776.37,0.17,-0.59,0.8,1
0.76,0.4,-1.36,131.35,623.05,783.69,-1.03,-0.59,-0.4,1
0.16,0.55,0.74,127.44,638.18,763.18,1.37,-0.59,-0.1,1
1.36,0.1,-0.76,131.84,637.7,769.53,0.32,0.01,0.5,1
1.06,0.55,1.19,133.3,633.79,771.97,-1.63,-0.74,-0.25,1
1.36,-0.2,-0.76,129.88,636.23,771.48,0.02,0.01,-0.25,1
0.16,-0.65,-1.21,139.16,635.74,753.42,0.02,-0.74,-0.55,1
1.06,1.75,0.74,136.72,613.28,802.73,1.67,0.01,-0.25,1
1.36,-0.2,0.74,140.14,640.63,753.42,0.77,-0.44,0.2,1
1.36,-0.65,-0.31,104.98,609.38,791.02,0.32,-1.49,-0.25,1
0.46,-0.5,-0.61,139.65,633.79,766.6,2.27,-1.34,-0.85,1
-0.59,0.55,-0.31,135.25,627.44,778.32,2.27,-0.89,-0.4,1
1.36,-1.4,-0.01,126.46,613.28,776.86,0.92,-0.89,-0.1,1
-0.89,-0.5,-0.16,129.39,635.25,747.56,-0.58,-0.89,-0.85,1
0.76,-0.5,-0.16,112.3,608.89,793.95,-0.28,-0.14,0.35,1
0.01,0.7,-0.16,141.11,662.6,732.42,1.97,0.76,-0.25,1
0.61,0.1,-0.31,105.96,600.59,801.76,1.22,-1.49,-0.55,1
1.21,1.15,0.29,140.63,649.9,748.05,2.27,-1.34,-0.1,1
0.16,-0.2,0.74,119.14,625.49,795.9,1.97,-0.44,-0.25,1
0.46,-0.5,0.29,141.6,632.32,773.44,0.77,-1.19,0.5,1
-0.59,0.1,0.44,142.58,645.02,750.0,-1.18,-1.19,-0.25,1
1.21,-0.05,-0.61,113.77,600.59,818.85,1.67,-1.49,0.2,1
0.76,-0.05,0.29,151.86,669.43,720.7,0.32,-0.44,0.2,1
-0.29,-0.65,-0.76,95.7,575.68,829.59,2.27,-1.34,-0.1,1
1.81,-0.95,-0.76,159.67,671.87,707.52,1.37,-0.59,-0.4,1
-1.04,-0.95,0.74,117.68,607.91,816.89,1.97,-0.44,-0.25,1
1.21,0.4,-0.91,140.14,626.95,765.62,1.82,-0.89,-1.6,1
0.01,-0.5,0.29,138.18,653.32,739.75,0.62,0.16,0.35,1
0.46,-0.05,0.59,92.29,588.38,843.26,1.97,-0.44,0.2,1
0.76,-1.25,-0.91,175.29,696.29,684.08,-0.28,-0.89,-1.15,1
0.61,-2.15,-1.21,74.71,559.57,899.9,1.97,-0.74,-1.0,1
1.36,-0.65,-0.31,190.43,709.47,650.88,1.97,-0.44,0.2,1
0.01,-0.05,-0.16,100.59,579.1,840.82,0.62,-0.59,-1.0,1
0.16,-0.95,-0.76,124.02,625.49,768.07,0.62,-0.14,-0.1,1
-0.44,-1.25,0.59,187.5,682.13,675.78,0.62,-0.14,-0.85,1
0.46,-0.5,-1.81,46.39,507.81,957.03,1.82,-1.64,-0.85,1
-1.04,-1.85,-1.96,265.63,785.16,549.32,0.92,-0.14,-0.85,1
-0.44,-1.55,-2.56,228.52,407.71,990.72,0.77,0.01,-2.2,1
-1.49,0.1,-3.46,1090.33,263.67,1367.19,2.57,0.16,-2.65,1
-0.29,0.55,-5.11,253.42,636.72,697.27,3.02,-1.64,-1.6,1
1.81,0.85,-5.11,158.69,719.24,683.11,1.22,-0.74,-2.95,1
2.41,1.45,-2.86,-67.87,508.3,1025.88,10.67,-2.09,3.35,1
0.76,0.4,-0.16,-583.98,1033.69,294.43,14.42,-5.09,10.25,1
-0.89,0.7,-0.91,175.78,693.85,659.67,-1.18,-4.94,-1.0,1
2.71,-0.65,-3.91,58.11,525.88,943.36,-0.28,-3.14,-1.9,1
6.91,-4.85,-0.76,208.01,761.72,579.1,-1.63,-6.44,4.7,1
0.61,-5.75,-0.31,48.83,517.58,945.31,-1.78,-1.34,10.25,1
0.61,-1.85,-0.01,170.41,679.69,706.54,-0.43,2.26,5.15,1
0.61,-0.2,-0.76,169.92,695.31,680.66,0.02,0.01,1.7,1
1.06,0.1,0.44,125.98,427.73,1077.15,-1.63,-0.44,0.5,1
-0.44,-0.5,0.59,240.72,520.51,263.18,-0.88,-0.44,-0.25,1
0.46,-0.8,-1.81,260.74,657.23,708.5,1.22,-0.74,-0.25,1
-0.29,0.55,-1.96,450.2,277.34,1077.15,1.22,-1.49,0.95,1
1.36,-0.2,-0.76,278.81,763.18,641.6,0.62,-1.34,1.55,1
0.76,0.4,-0.16,-571.78,804.69,371.09,0.62,-2.09,-2.35,1
0.01,-0.05,-0.16,122.07,631.35,781.25,0.77,0.01,-2.2,1
0.16,-0.2,-0.76,146.0,649.9,744.63,-0.43,1.06,-1.0,1
1.21,-2.45,-0.16,110.84,606.45,806.15,0.32,-0.44,-2.2,1
0.01,-0.5,0.29,146.97,651.37,748.05,-0.28,0.16,-2.65,1
0.16,0.1,-2.41,121.58,601.56,810.06,0.62,-0.14,-2.35,1
0.01,0.7,-0.16,135.74,634.77,771.48,-0.43,-0.74,-1.0,1
0.61,-0.2,-0.31,125.98,638.67,771.0,0.32,-0.44,-1.3,1
1.36,-0.95,-1.21,130.86,611.33,805.18,0.62,0.16,-1.15,1
-0.89,-0.5,-0.91,158.2,675.29,728.03,1.22,0.76,-2.5,1
0.01,-0.5,-1.36,105.96,586.91,824.22,-0.28,0.16,-0.4,1
-0.89,-1.25,-0.16,157.71,656.25,710.45,0.02,0.01,-0.55,1
0.76,-2.0,-0.91,103.52,596.68,828.61,0.17,-0.14,-1.9,1
0.76,-0.05,-0.91,152.83,641.11,741.21,-0.58,0.16,-0.4,1
0.16,-0.2,-0.76,132.81,620.61,790.53,0.92,-0.59,-1.6,1
0.61,-0.95,0.44,115.23,612.3,812.99,-0.58,1.36,-0.1,1
0.46,-0.05,-1.81,157.71,680.18,707.52,0.92,0.91,0.35,1
0.16,-0.65,-1.51,89.36,566.41,875.49,0.62,-0.59,-1.9,1
1.66,-0.8,-0.91,186.04,697.27,661.13,0.32,-0.44,-1.3,1
0.01,-0.5,-1.81,85.94,565.92,861.82,-0.28,-0.14,-1.15,1
0.01,0.7,-0.91,180.66,662.6,719.24,0.62,-0.14,-2.65,1
1.06,-0.65,-1.96,160.64,642.58,758.3,-1.18,1.06,-2.5,1
2.11,-0.05,-3.76,-46.39,495.12,768.55,-1.48,-0.14,-3.1,1
1.06,-0.2,-6.31,-1.46,875.98,493.16,-0.28,0.16,-3.85,1
-0.29,-0.2,-7.51,186.52,464.36,1041.99,1.97,1.06,-3.7,1
-2.54,-0.8,-7.21,279.3,606.45,735.84,1.67,2.26,-2.95,1
-4.64,-2.45,-4.51,198.73,682.13,674.32,2.57,3.46,-3.1,1
-3.59,-5.75,-1.51,-1316.89,935.55,1178.71,3.17,6.31,-1.75,1
-1.04,-6.8,4.19,188.48,720.21,646.97,0.17,3.76,1.85,1
5.86,-7.1,8.39,76.66,562.99,875.98,0.17,5.71,9.2,1
13.06,-3.8,-0.31,186.52,693.36,681.64,-6.13,-0.74,15.5,1
4.96,-1.25,-6.46,121.09,615.23,801.27,-5.98,-8.54,7.25,1
0.46,-2.0,-5.26,101.07,579.59,833.5,-2.08,-5.69,-1.3,1
-0.29,-1.4,-2.41,218.26,738.77,610.84,-0.28,-2.84,-2.65,1
1.06,-0.2,-1.96,11.23,506.35,997.56,-0.88,-0.44,-1.75,1
1.66,-0.8,-0.61,260.25,608.4,477.54,0.02,-1.49,-2.95,1
-0.89,1.45,-0.61,29.79,727.05,734.37,0.62,-2.39,-3.1,1
1.21,0.4,-1.81,-70.31,500.49,1021.48,0.92,1.36,-1.9,1
1.66,-0.05,-2.56,295.41,1057.13,197.27,2.87,0.31,-2.2,1
2.41,-0.8,-2.56,112.79,301.27,1246.09,1.97,0.76,-2.2,1
-0.29,-0.2,-2.41,139.16,631.84,780.27,1.67,1.06,-1.3,1
1.06,0.1,-0.76,118.16,624.51,772.95,0.32,-1.49,-0.55,1
0.61,0.1,-0.76,144.53,624.51,769.53,1.22,-0.44,-0.55,1
0.46,0.4,-0.61,135.74,638.67,766.6,1.37,-0.89,-0.85,1
0.76,-0.05,-0.16,128.42,638.67,778.81,1.22,-1.19,0.95,1
0.76,-0.8,-0.61,118.65,632.32,781.74,0.77,-0.74,-0.55,1
0.46,0.4,-0.16,125.0,630.86,776.86,1.67,-0.74,0.5,1
0.16,0.1,-0.31,125.0,618.16,777.34,0.32,-1.49,-0.25,1
0.76,-0.5,-0.91,134.77,640.14,775.88,1.22,-0.74,-0.55,1
0.46,0.7,-0.61,136.23,626.95,779.3,0.77,-0.44,0.2,1
-0.29,0.1,-1.21,128.91,629.88,785.64,1.37,-2.39,-1.15,1
1.36,-0.65,-0.31,136.23,623.05,771.48,1.97,-1.19,-0.25,1
