MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,Class
0.34,-1.03,0.09,106.45,603.52,813.96,-1.08,0.53,0.17,2
0.04,-0.13,-0.51,153.32,666.5,708.5,-1.23,0.23,0.32,2
0.94,1.07,-1.26,113.77,598.14,821.29,-1.83,0.53,-0.13,2
-0.41,-0.13,0.24,137.7,649.9,754.88,-0.93,-0.07,1.52,2
-0.71,-0.43,-0.51,133.3,626.46,778.81,-0.63,0.08,-0.13,2
1.09,0.47,-0.66,122.07,606.45,810.06,-0.63,-0.52,-0.58,2
-1.01,0.92,-0.36,155.76,673.34,706.05,-1.68,-1.12,0.32,2
0.04,0.32,-0.51,89.84,564.94,864.75,-2.28,0.08,-1.33,2
0.94,-0.88,-1.26,176.76,685.55,673.83,1.17,-1.87,0.77,2
-0.71,0.62,-0.96,95.7,568.85,858.4,0.12,-0.22,0.62,2
-0.41,0.62,-0.51,158.69,655.76,729.98,-0.93,0.23,-0.43,2
1.69,-0.13,-0.96,139.16,618.16,778.32,-1.08,-1.72,1.67,2
0.94,-0.43,-0.96,105.96,581.05,843.26,-0.33,-0.52,0.92,2
-0.56,0.17,-1.11,193.85,730.47,640.14,-0.93,-0.67,1.07,2
-0.11,0.17,-1.11,54.2,508.3,967.77,-1.23,-0.37,0.02,2
-0.41,1.07,-2.16,221.19,750.98,587.89,-0.93,-0.07,0.32,2
0.64,0.17,-0.66,127.44,547.36,890.14,-0.63,-0.97,-0.13,2
0.64,1.67,-1.56,303.22,653.32,839.84,-1.53,-0.52,-1.78,2
0.34,1.67,-0.66,49.8,751.95,627.93,-0.63,-0.97,0.92,2
-0.56,1.22,-3.81,104.0,649.9,731.93,-0.93,-0.67,-2.23,2
-0.56,0.92,-3.51,41.99,500.0,981.45,1.17,-1.87,-1.48,2
-0.71,-0.43,-3.36,308.59,812.5,473.14,-0.33,-0.22,-0.58,2
-1.01,-0.73,-2.76,-14.65,404.3,1095.7,0.27,0.68,-1.48,2
-2.51,-0.88,-3.36,52.73,951.66,566.89,0.72,0.68,-0.73,2
-2.21,0.17,-2.31,-2000.0,940.92,-786.62,0.27,0.23,-0.43,2
-1.76,0.17,-1.56,172.36,704.1,679.69,-1.53,-0.52,-0.58,2
-1.16,-2.08,0.24,88.87,584.96,834.96,-1.08,-0.97,-0.13,2
-0.11,0.17,-0.66,134.77,643.07,764.16,0.57,-1.27,0.62,2
-1.01,-1.03,-0.36,157.71,686.04,714.84,-1.08,-0.52,0.17,2
-0.41,0.62,-0.96,74.71,529.3,920.9,-1.68,-0.07,-0.43,2
-1.01,0.17,-1.11,214.36,753.42,580.08,-1.53,-0.22,1.37,2
1.09,-1.48,-0.66,75.68,502.44,969.73,-0.63,-0.97,0.62,2
0.04,-0.88,-1.26,-499.51,906.74,453.12,-2.28,-1.27,-0.58,2
0.94,0.32,-0.51,70.8,807.62,552.73,0.27,-1.12,2.27,2
0.04,1.52,-1.26,-15.62,376.95,1201.66,0.72,-0.67,1.97,2
0.94,0.32,-2.16,282.71,997.56,287.11,3.72,0.53,5.87,2
0.04,-0.13,-2.46,-429.2,895.02,937.5,1.77,0.83,4.07,2
-0.56,0.47,-1.11,133.3,632.81,777.83,0.12,1.58,-0.13,2
-1.76,-1.03,0.09,124.51,630.86,759.77,-0.48,0.23,-1.18,2
-1.46,-0.28,-1.86,133.79,635.74,774.41,-0.48,-0.07,-1.93,2
-0.56,-0.73,-0.36,131.35,630.86,775.39,0.57,0.53,-1.03,2
0.04,-1.18,-0.51,125.49,634.28,773.93,-0.03,0.68,0.32,2
-0.41,1.07,-0.96,136.23,632.32,786.13,-0.63,-0.22,-1.33,2
0.04,0.62,0.24,115.23,641.11,782.71,0.72,0.23,0.02,2
0.04,0.62,-0.21,122.56,619.63,785.16,-0.93,-0.37,0.02,2
1.54,0.92,0.09,116.7,628.42,775.88,1.32,0.08,-0.13,2
0.04,0.32,-0.51,129.88,625.49,775.88,0.27,0.23,-1.48,2
-1.46,0.92,-0.36,121.09,625.98,779.79,0.12,0.08,-0.13,2
0.04,-1.18,0.24,124.51,635.25,772.95,0.72,-1.12,-1.48,2
-1.01,0.47,0.84,129.88,639.16,771.0,-0.03,-0.67,-0.43,2
0.34,-1.48,0.39,142.09,652.83,729.49,-0.33,-3.52,1.37,2
1.69,-0.88,-0.51,128.91,608.89,813.96,-2.13,-2.92,1.52,2
-1.01,-1.48,-0.66,129.88,632.81,760.74,-0.48,-2.62,2.27,2
-0.56,-0.73,-0.36,133.79,638.18,769.53,-0.48,-2.62,1.52,2
0.34,0.17,-1.56,121.09,598.14,810.06,-1.08,-3.22,0.92,2
0.49,-0.13,-2.16,144.04,673.34,729.49,-0.93,-2.92,1.52,2
-0.71,-0.43,-0.51,115.72,582.03,836.91,-0.93,-1.87,2.27,2
-0.11,1.22,-1.56,157.71,671.87,713.38,-0.48,-3.37,0.32,2
0.04,-0.13,-0.96,120.12,589.84,824.22,-2.43,-3.37,0.32,2
-1.16,1.82,-0.51,144.53,641.11,748.54,0.12,-3.52,1.37,2
-0.41,-0.43,-1.71,132.81,650.88,756.84,-1.23,-3.37,0.02,2
