MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,Class
2.16,-2.69,0.25,218.75,629.88,744.63,-0.81,1.36,0.92,1
5.01,-1.19,1.75,84.47,612.79,808.59,-1.56,-0.14,1.97,1
4.86,-2.09,4.75,115.72,728.03,658.2,-1.41,-1.04,5.72,1
4.86,-1.04,5.95,214.36,579.59,805.18,-2.46,-1.64,9.62,1
3.21,-2.99,4.45,172.36,637.7,778.32,-2.31,0.76,6.47,1
1.86,-5.24,3.25,81.54,654.3,739.26,-1.26,-0.14,3.92,1
-0.39,-8.24,-0.5,138.18,589.84,857.42,-2.61,-0.29,10.67,1
-1.89,-2.99,-3.5,60.55,721.19,654.3,-0.66,6.16,5.72,1
-0.09,-1.34,-3.05,271.0,569.34,744.63,-1.26,2.56,-2.53,1
-0.39,-0.74,-2.15,-49.32,372.56,852.05,-0.21,1.51,-3.58,1
-0.99,-0.14,0.1,191.41,1114.26,211.91,0.24,1.21,-1.18,1
-0.09,-1.34,-2.3,1719.73,-1287.6,1420.41,1.44,0.01,-3.58,1
0.21,-2.54,-2.3,274.41,745.61,596.68,-0.66,0.46,-1.63,1
0.06,0.01,-1.7,-674.8,910.64,317.38,-3.06,1.96,-0.88,1
0.21,-0.14,0.1,871.09,96.19,1268.55,-1.26,-1.19,4.67,1
-0.99,-1.04,-1.55,124.51,632.81,777.34,-2.01,-1.19,-2.23,1
0.21,-0.14,0.4,120.12,648.93,772.95,0.24,0.76,-3.13,1
-0.09,-0.59,-0.35,110.35,625.49,769.04,-1.41,1.51,-3.13,1
0.51,1.21,-2.15,111.33,637.21,759.28,-0.21,0.01,-2.83,1
-0.54,-2.09,-0.8,100.59,634.28,771.48,-0.21,0.76,-3.88,1
-0.39,0.31,-0.2,122.56,646.0,776.37,-1.41,0.01,-3.58,1
-0.39,0.01,-0.5,118.65,641.6,767.58,-1.41,1.21,-3.88,1
0.66,-1.04,0.1,118.65,636.23,769.53,0.39,0.61,-3.73,1
0.81,0.01,-1.4,116.7,640.14,777.34,-2.01,0.61,-1.78,1
-0.54,-0.59,0.4,113.77,645.51,771.0,-1.41,1.51,-3.88,1
-0.54,0.16,-0.35,129.88,635.25,768.07,-0.21,1.21,-1.18,1
0.51,-1.64,0.25,102.05,624.51,792.97,-1.86,1.51,-2.83,2
0.21,1.66,0.1,125.0,643.55,744.63,-1.86,1.21,-3.13,2
0.21,-1.34,0.1,107.91,642.58,756.84,-0.81,0.61,-2.98,2
-0.09,0.91,-1.1,117.19,642.09,785.16,-0.96,0.46,-3.58,2
0.66,-0.14,-0.35,121.58,644.53,739.75,-0.66,1.21,-2.83,2
-1.89,-0.59,0.4,112.3,617.19,787.6,-1.41,1.51,-2.38,2
0.66,-1.04,-0.35,144.04,653.32,740.23,-2.01,1.36,-3.73,2
-1.44,-0.59,-0.8,106.45,618.65,790.04,-1.56,0.61,-1.78,2
-0.54,-1.04,-0.8,127.93,652.34,756.35,-1.41,2.26,-3.58,2
0.21,0.91,0.4,104.0,636.72,789.55,-0.96,1.51,-4.33,2
-0.99,-0.59,0.4,112.3,639.16,777.34,0.24,1.21,-4.33,2
0.51,0.01,-0.95,121.58,648.93,733.4,-1.26,1.06,-4.48,2
-0.09,-0.14,0.1,96.68,609.86,815.43,-2.01,1.36,-4.03,2
1.11,-1.79,-0.35,142.09,665.04,715.33,-0.36,0.61,-3.28,2
-0.09,-0.14,-0.8,88.87,604.0,800.78,-1.56,1.81,-2.98,2
-0.09,0.16,-0.8,134.77,648.44,727.05,-0.36,2.56,-3.73,2
-0.39,-0.44,-0.2,117.19,638.18,768.55,-0.06,1.36,-3.28,2
-1.44,0.91,0.1,105.96,607.91,800.78,-2.01,1.36,-2.98,2
0.06,0.31,-0.95,143.55,684.57,697.27,-2.01,2.11,-3.73,2
0.51,-0.74,-0.5,102.54,570.8,849.61,0.24,1.51,-3.88,2
-0.39,-0.44,0.7,101.07,716.8,651.37,-1.56,1.36,-1.48,2
1.11,-1.04,-1.85,486.82,312.99,892.58,-2.46,0.61,-2.23,2
-0.54,-0.59,-3.05,284.67,720.7,700.2,-1.41,1.21,-5.08,2
-1.14,0.01,-4.1,99.61,587.89,844.73,-1.56,1.81,-4.48,2
-1.59,-1.19,-3.35,-67.87,532.71,958.01,0.54,3.46,-5.08,2
-1.44,-1.34,-1.85,399.41,896.0,323.73,0.24,2.71,-7.03,2
-2.49,-2.69,-2.45,-668.95,528.81,1217.29,0.24,3.01,-8.08,2
-0.84,0.01,-0.95,1999.94,-155.76,1999.94,0.54,4.21,-5.83,2
-0.84,-1.64,0.25,151.86,702.15,677.25,0.39,1.06,-4.03,2
-2.04,-1.19,-0.2,87.4,593.26,848.63,0.54,1.51,-3.13,2
-1.14,0.01,-0.5,117.19,654.3,747.07,0.39,1.36,-2.53,2
-1.44,0.16,-1.55,152.34,682.13,705.08,0.54,0.46,-3.13,2
0.51,-0.74,0.7,66.89,543.46,924.8,-0.96,1.21,-1.93,2
0.21,-0.59,-0.35,132.81,762.21,545.9,0.39,1.36,-2.23,2
0.21,1.36,-1.1,71.29,576.17,1011.23,-1.86,0.76,-2.38,2
1.26,-0.74,-1.7,-179.2,699.71,650.39,-0.36,1.06,-2.98,2
-0.09,0.91,0.4,424.32,865.23,391.11,-0.36,1.06,-2.23,2
0.21,-2.54,-0.8,1003.42,-173.83,1775.88,-0.81,1.06,-2.53,2
0.21,-0.59,-0.8,186.04,608.4,672.85,0.99,2.71,-5.08,2
1.11,-0.59,-0.35,-2000.0,1312.99,-2000.0,1.14,3.31,-7.18,2
0.66,-1.79,0.85,117.19,640.63,763.18,-0.21,1.96,-1.63,2
0.51,-0.74,-0.5,111.82,639.65,760.74,-0.06,0.31,-1.48,2
-0.09,-1.34,-1.1,125.98,630.37,772.95,1.59,1.36,-1.78,2
0.51,0.76,0.25,107.91,631.35,762.7,0.24,0.76,-1.93,2
-0.09,0.16,0.1,110.35,641.6,759.28,-0.21,0.76,-1.18,2
0.66,-1.79,0.85,108.89,638.18,775.88,-0.21,0.76,-0.88,2
1.11,-0.59,0.1,117.68,638.18,762.7,1.44,0.01,-1.18,2
0.51,-0.44,1.0,107.91,632.81,771.0,0.39,0.31,-2.53,2
0.51,0.31,-0.95,118.16,637.21,764.16,-0.66,-1.49,-1.63,2
-0.09,1.36,-0.35,126.46,628.42,764.65,0.84,1.36,-1.78,2
-0.09,0.16,-1.1,109.86,631.84,768.55,0.54,1.21,-3.13,2
0.81,1.21,-1.4,112.3,643.55,761.72,-0.81,1.06,-2.98,2
0.21,0.16,0.4,116.21,640.14,769.53,0.54,1.51,-2.83,2
0.81,0.76,0.25,115.72,634.28,768.07,0.39,1.81,-1.78,2
-1.59,-0.44,-0.2,122.56,643.07,756.84,0.24,0.01,-1.18,2
-0.39,0.76,-0.5,109.37,614.75,786.13,0.84,1.36,-2.53,2
-0.99,0.61,0.1,117.19,630.37,755.86,1.14,1.06,-2.98,2
-0.09,-0.59,-0.8,118.16,635.74,773.93,1.44,1.21,-2.83,2
-0.84,1.51,-0.5,124.51,629.39,773.93,0.24,0.01,-2.38,2
0.21,0.16,-0.8,129.88,652.83,756.84,2.19,0.76,-1.93,2
-0.84,-2.39,-0.95,119.63,629.88,767.09,-0.06,0.31,-2.23,2
0.21,0.16,-0.35,129.88,630.86,751.46,-0.06,0.61,-1.78,2
-0.39,-0.44,0.25,121.58,636.72,771.48,-0.06,1.81,-1.03,2
-0.09,0.16,-1.1,125.49,644.04,768.07,0.24,1.51,-4.63,2
0.51,-0.44,1.0,78.61,648.44,767.09,1.14,1.06,-2.53,2
0.06,0.76,1.0,110.84,620.12,801.27,0.99,1.51,-1.93,2
0.21,0.61,0.4,191.41,688.48,689.94,0.54,1.21,-3.58,2
-0.09,-0.14,0.1,-49.8,522.95,905.76,0.99,1.51,-1.93,2
0.66,-0.59,-0.35,340.82,824.22,441.89,0.54,1.21,-3.58,2
-0.84,1.21,-0.2,-328.12,538.57,1002.93,0.24,1.21,-2.38,2
0.66,-1.04,1.3,442.87,658.69,405.27,1.44,1.51,-1.63,2
1.11,0.91,0.85,-161.13,904.79,287.11,-0.36,0.31,-1.78,2
1.26,0.76,2.2,1999.94,-1041.5,1684.08,0.99,0.76,-1.63,2
0.06,-1.94,2.65,386.23,575.2,707.52,2.49,3.31,-2.53,2
-1.14,-0.74,1.75,-44.43,699.22,789.06,0.54,3.91,-0.88,2
-2.49,0.31,0.7,106.45,643.55,760.74,4.44,1.81,3.92,2
-0.54,0.16,0.85,188.48,466.8,950.68,9.69,0.61,12.32,2
1.56,-0.59,-0.35,-1942.38,976.56,-17.58,-2.31,1.21,-0.13,2
-0.84,0.01,0.7,78.61,635.25,763.67,-0.66,1.21,-2.38,2
-0.54,0.61,0.4,180.66,625.98,786.13,0.84,2.11,-1.48,2
-0.09,0.16,0.85,12.7,652.34,726.07,1.74,0.46,-1.18,2
-0.54,0.61,0.85,223.63,697.27,703.12,-1.26,0.61,-1.03,2
-1.14,0.01,-0.5,-296.88,670.9,853.03,-0.21,1.21,-1.63,2
1.26,0.76,0.25,61.04,1232.42,146.0,0.84,1.36,-1.48,2
-0.09,-0.59,0.1,-831.54,520.51,799.8,-0.81,0.61,-2.23,2
-0.54,-1.04,-2.75,206.05,562.5,946.78,0.54,0.76,-2.38,2
-0.84,-1.64,-0.5,454.1,617.68,799.8,-0.66,1.21,-4.63,2
1.26,-0.44,-0.95,-156.74,622.56,832.03,-3.21,3.61,-1.48,2
0.51,1.21,-0.2,3.42,725.1,704.59,-3.81,0.01,2.27,2
0.06,-0.44,-0.95,111.33,642.09,758.79,-1.41,0.46,-1.18,2
-0.54,-0.59,0.85,117.19,652.83,764.65,-0.81,1.81,-2.98,2
0.06,-0.74,-0.95,112.79,632.32,771.48,-0.36,1.81,-3.28,2
2.16,1.21,0.7,122.56,625.0,765.62,-1.41,1.96,-2.83,2
1.11,0.16,0.1,111.33,634.77,771.48,-2.31,1.21,-3.13,2
-0.54,0.16,-1.1,115.72,624.51,762.21,-1.86,1.51,-4.63,2
-0.09,-1.04,0.1,117.19,635.74,771.97,-0.21,1.96,-3.58,2
1.26,0.01,-0.95,119.14,636.72,769.53,-1.86,0.76,-3.13,2
-0.99,-0.14,-0.35,127.93,635.25,770.51,-1.86,1.21,-3.58,2
-0.09,0.61,-0.35,115.72,639.65,772.46,-0.36,1.81,-2.98,2
-0.39,-0.44,-0.95,113.28,638.18,764.65,-1.41,1.96,-5.08,2
