MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,Class
-0.39,0.31,-0.2,119.63,615.72,797.36,-1.56,1.06,-2.53,1
0.66,-0.14,-1.1,118.16,644.04,757.32,-1.86,2.71,-3.88,1
-1.14,0.76,-0.2,117.68,626.46,792.48,-0.36,0.61,-2.23,1
0.21,-0.14,1.3,124.51,626.95,765.14,-0.66,1.96,-2.83,1
-0.39,-0.44,-1.4,125.0,637.7,762.21,0.24,1.21,-3.58,1
-0.54,-1.04,0.1,107.42,631.35,782.23,-0.96,0.01,-2.83,1
-0.99,0.16,-0.8,132.32,651.37,736.33,-1.26,1.06,-2.23,1
-0.54,0.16,-0.8,106.93,607.42,801.27,-0.81,1.06,-3.73,1
0.66,-0.14,-0.35,125.98,653.32,737.3,-1.56,1.36,-2.98,1
0.51,0.01,-1.4,120.12,615.23,801.27,0.39,1.06,-3.28,1
-0.54,-1.34,-1.55,138.67,637.21,748.54,-0.81,1.06,-2.98,1
0.21,-0.59,0.1,133.3,634.28,759.77,-1.26,0.31,-2.53,1
-1.14,0.31,-0.95,103.03,610.84,793.95,-1.26,1.06,-2.23,1
-0.09,0.16,0.1,152.83,657.23,711.43,-1.41,1.21,-3.13,1
-0.99,-0.14,0.4,96.19,599.61,833.01,-0.66,-0.29,-2.38,1
0.06,-0.44,-0.2,152.34,658.69,715.33,-0.81,0.61,-1.78,1
1.11,-0.14,0.85,98.14,586.43,812.5,-0.81,1.06,-2.23,1
0.51,0.01,0.7,120.61,644.04,774.41,-0.96,0.46,-1.93,1
-0.99,0.16,0.1,130.37,646.48,734.86,-1.56,0.61,-3.73,1
-1.44,0.16,1.3,91.8,591.31,843.26,-1.41,1.21,-3.58,1
-0.84,-1.19,-1.4,150.88,701.17,665.04,-1.41,0.46,-1.63,1
0.81,-1.19,-1.4,185.55,526.86,904.79,-1.26,1.06,-1.78,1
1.11,-0.14,-1.55,-438.96,1127.44,700.2,-1.26,1.81,-3.73,1
-0.09,0.16,-3.05,101.07,858.89,476.07,-1.86,1.21,-3.13,1
-3.99,-3.29,-1.85,91.8,471.68,1032.23,0.24,1.51,-4.33,1
-5.34,-4.34,-1.4,141.6,539.55,927.73,0.84,3.31,-4.03,1
-5.34,-3.89,-1.4,388.18,983.4,285.16,0.39,5.56,-6.43,1
-5.64,-4.04,0.4,-530.27,323.24,1441.89,0.99,6.16,-3.88,1
-2.19,-5.24,6.7,75.2,587.4,853.03,1.59,6.31,-0.28,1
2.91,-4.34,7.75,132.81,662.6,731.93,-2.46,4.36,7.82,1
9.36,-2.99,1.3,138.18,659.67,729.0,-5.91,2.26,13.22,1
4.71,-1.64,-2.9,59.08,560.06,887.21,-6.96,-7.34,6.62,1
0.81,-1.64,-3.65,189.94,767.58,583.5,-3.51,-4.49,-0.88,1
1.56,-0.59,-2.3,54.69,506.84,970.21,-0.96,-1.49,-3.13,1
-0.39,-1.64,0.25,121.09,640.14,678.71,-1.86,-0.74,-3.58,1
-0.99,-0.14,0.1,-19.53,1148.44,565.92,-2.31,0.76,-1.93,1
-0.84,0.01,0.25,-264.16,327.64,1300.29,-1.26,1.36,-1.03,1
0.21,-1.04,0.4,287.11,1293.95,-165.53,-1.26,0.31,-1.48,1
-0.84,-0.44,-0.95,137.21,771.48,627.44,-0.06,2.86,-2.53,1
-0.09,-1.34,-1.85,-1541.99,1999.94,1999.94,-0.36,3.31,-4.03,1
1.71,0.31,-0.5,114.26,646.97,770.51,-0.21,-0.29,1.82,1
0.81,0.01,0.7,112.3,635.74,764.65,0.54,-1.04,-0.43,1
0.66,-1.04,0.85,122.56,624.51,758.3,-0.21,0.01,-0.88,1
0.81,1.51,0.7,116.7,631.84,779.79,0.84,-0.89,-0.73,1
1.71,0.76,0.7,106.93,634.28,760.25,0.99,-0.29,0.62,1
-0.39,0.31,-0.2,132.32,644.53,771.97,1.44,0.01,-0.88,1
0.21,0.91,-0.35,127.93,633.79,769.04,-0.06,-1.19,-0.28,1
0.81,0.31,-0.5,125.0,646.0,769.04,-0.06,0.61,-0.28,1
0.21,-0.14,0.1,109.37,631.35,765.14,-0.36,-1.94,-0.73,1
0.51,0.31,-0.2,112.79,640.14,771.97,0.39,0.31,-1.03,1
-0.09,0.16,-0.8,115.72,647.46,770.51,0.99,-1.04,-1.18,1
-0.09,-0.14,-0.8,107.91,634.28,759.28,0.39,1.06,-1.78,1
1.71,-0.74,-0.5,116.7,642.58,773.44,-0.21,-0.29,-0.43,1
-0.09,0.16,-0.8,119.14,629.39,772.46,-0.21,0.01,-1.18,1
-1.14,-0.44,0.25,113.77,635.74,748.54,0.54,0.76,-1.18,1
-0.54,1.36,0.4,118.16,622.07,773.93,-0.06,0.61,-2.53,1
0.66,-1.34,0.4,130.37,638.67,753.91,-0.36,2.56,-1.48,1
-0.39,1.21,0.7,123.05,621.58,774.41,-0.21,0.46,-0.88,1
-1.14,-0.44,-0.2,124.02,643.07,770.51,0.99,1.21,-1.93,1
0.06,-1.19,-1.4,118.65,646.48,775.88,1.14,0.31,-0.28,1
-0.09,-0.59,-1.1,98.63,643.55,776.37,0.54,0.76,-1.18,1
0.51,0.31,-2.15,114.26,631.84,761.23,-0.21,0.01,-1.63,1
-0.39,0.31,-0.2,97.66,632.32,767.09,0.99,1.21,-2.38,1
0.51,0.31,-0.2,106.93,644.53,774.9,-0.36,1.06,-1.03,1
0.66,-0.59,-0.35,112.79,639.65,765.14,0.54,0.46,-1.18,1
0.66,0.61,-1.55,162.11,626.95,781.74,-0.06,-0.14,-1.48,1
0.81,-0.44,0.7,30.27,657.23,730.47,0.39,-0.89,-1.48,1
-0.09,0.91,-0.8,168.95,612.3,804.2,0.99,0.46,-1.18,1
-0.09,-0.14,0.1,33.2,656.74,712.4,-0.06,1.06,-0.28,1
0.06,0.31,-0.2,310.06,675.78,769.04,0.24,0.76,-1.18,1
0.81,-0.44,-0.95,-170.41,360.35,1154.79,0.54,-0.74,-1.93,1
0.51,0.01,-0.5,-236.33,1755.86,-255.37,0.24,0.01,-1.18,1
1.86,-0.59,0.1,-1707.03,912.11,536.62,-0.36,-0.89,-1.03,1
2.16,-1.19,-0.2,1054.2,537.6,1233.4,-0.81,-1.64,-0.28,1
